G1,G2,G3,G4
94,72,89,28
6,28,11,72
0,0,0,0
11,28,17,0
89,72,83,100
0,0,0,0
0,46,6,94
100,54,94,6
0,0,0,0
11,61,50,6
39,17,11,88
50,22,39,6
33,22,55,100
17,39,28,0
50,39,17,0
22,44,50,94
78,56,50,6
0,0,0,0
0,17,6,0
100,83,94,100
0,0,0,0
0,11,11,0
100,89,89,100
0,0,0,0
61,72,83,100
39,28,17,0
0,0,0,0
0,6,0,0
100,94,100,100
0,0,0,0
100,61,94,83
0,39,6,17
0,0,0,0
100,100,100,100
0,0,0,0
0,0,0,0
89,61,89,94
11,39,11,6
0,0,0,0
100,50,94,50
0,50,6,44
0,0,0,6
56,56,28,0
38,44,55,78
6,0,17,22